iso2,variable,year,country,value,type
BG,LStK,2012,Bulgarien,85.2934510958297,Gesamtwirtschaft
BG,LStK,2013,Bulgarien,92.905028715073,Gesamtwirtschaft
BG,LStK,2014,Bulgarien,97.5333838244908,Gesamtwirtschaft
BG,LStK,2015,Bulgarien,100,Gesamtwirtschaft
BG,LStK,2016,Bulgarien,103.201673624732,Gesamtwirtschaft
BG,LStK,2017,Bulgarien,112.978303933141,Gesamtwirtschaft
BG,LStK,2018,Bulgarien,120.527134763543,Gesamtwirtschaft
BG,LStK,2019,Bulgarien,124.285713416664,Gesamtwirtschaft
BG,LStK,2020,Bulgarien,135.474172630429,Gesamtwirtschaft
BG,LStK,2021,Bulgarien,140.319655169617,Gesamtwirtschaft
BG,LStK,2022,Bulgarien,153.606537573751,Gesamtwirtschaft
BG,LStK,2023,Bulgarien,172.552281087846,Gesamtwirtschaft
BG,LStK,2024,Bulgarien,186.183911293786,Gesamtwirtschaft
BG,LStK,2025,Bulgarien,198.099681616588,Gesamtwirtschaft
CA,BEG,1995,Kanada,0,Gesamtwirtschaft
CA,BEG,1996,Kanada,0,Gesamtwirtschaft
CA,BEG,1997,Kanada,0,Gesamtwirtschaft
CA,BEG,1998,Kanada,0,Gesamtwirtschaft
CA,BEG,1999,Kanada,56.0921537881148,Gesamtwirtschaft
CA,BEG,2000,Kanada,68.350270641826,Gesamtwirtschaft
CA,BEG,2001,Kanada,69.1976283123516,Gesamtwirtschaft
CA,BEG,2002,Kanada,65.6025987814541,Gesamtwirtschaft
CA,BEG,2003,Kanada,62.5767914677932,Gesamtwirtschaft
CA,BEG,2004,Kanada,63.4248466314,Gesamtwirtschaft
CA,BEG,2005,Kanada,70.6719434938518,Gesamtwirtschaft
CA,BEG,2006,Kanada,78.330544754724,Gesamtwirtschaft
CA,BEG,2007,Kanada,79.2224824406371,Gesamtwirtschaft
CA,BEG,2008,Kanada,76.7885396149513,Gesamtwirtschaft
CA,BEG,2009,Kanada,76.3042875041216,Gesamtwirtschaft
CA,BEG,2010,Kanada,89.5813528330289,Gesamtwirtschaft
CA,BEG,2011,Kanada,92.0037508313766,Gesamtwirtschaft
CA,BEG,2012,Kanada,101.875588203013,Gesamtwirtschaft
CA,BEG,2013,Kanada,98.4782618759672,Gesamtwirtschaft
CA,BEG,2014,Kanada,94.7706730502597,Gesamtwirtschaft
CA,BEG,2015,Kanada,100,Gesamtwirtschaft
CA,BEG,2016,Kanada,95.8460898118537,Gesamtwirtschaft
CA,BEG,2017,Kanada,97.6863459719304,Gesamtwirtschaft
CA,BEG,2018,Kanada,96.864404792738,Gesamtwirtschaft
CA,BEG,2019,Kanada,101.789968404226,Gesamtwirtschaft
CA,BEG,2020,Kanada,107.155401895797,Gesamtwirtschaft
CA,BEG,2021,Kanada,111.292061500035,Gesamtwirtschaft
CA,BEG,2022,Kanada,127.539537883991,Gesamtwirtschaft
CA,BEG,2023,Kanada,123.540010776192,Gesamtwirtschaft
CA,LStK,1995,Kanada,0,Gesamtwirtschaft
CA,LStK,1996,Kanada,0,Gesamtwirtschaft
CA,LStK,1997,Kanada,0,Gesamtwirtschaft
CA,LStK,1998,Kanada,0,Gesamtwirtschaft
CA,LStK,1999,Kanada,64.1300081564166,Gesamtwirtschaft
CA,LStK,2000,Kanada,76.0250228403745,Gesamtwirtschaft
CA,LStK,2001,Kanada,76.2498743471091,Gesamtwirtschaft
CA,LStK,2002,Kanada,71.9109773627328,Gesamtwirtschaft
CA,LStK,2003,Kanada,68.840599428182,Gesamtwirtschaft
CA,LStK,2004,Kanada,68.7915908601318,Gesamtwirtschaft
CA,LStK,2005,Kanada,75.3999117238867,Gesamtwirtschaft
CA,LStK,2006,Kanada,82.6283047521374,Gesamtwirtschaft
CA,LStK,2007,Kanada,83.4783938290566,Gesamtwirtschaft
CA,LStK,2008,Kanada,81.283071295513,Gesamtwirtschaft
CA,LStK,2009,Kanada,81.8056605584114,Gesamtwirtschaft
CA,LStK,2010,Kanada,94.7953868357791,Gesamtwirtschaft
CA,LStK,2011,Kanada,95.937981486541,Gesamtwirtschaft
CA,LStK,2012,Kanada,105.384646642039,Gesamtwirtschaft
CA,LStK,2013,Kanada,100.739946644631,Gesamtwirtschaft
CA,LStK,2014,Kanada,94.6830765036332,Gesamtwirtschaft
CA,LStK,2015,Kanada,100,Gesamtwirtschaft
CA,LStK,2016,Kanada,95.7649592756168,Gesamtwirtschaft
CA,LStK,2017,Kanada,96.7481699379876,Gesamtwirtschaft
CA,LStK,2018,Kanada,94.8648105916091,Gesamtwirtschaft
CA,LStK,2019,Kanada,99.8729681788087,Gesamtwirtschaft
CA,LStK,2020,Kanada,100.311615793789,Gesamtwirtschaft
CA,LStK,2021,Kanada,107.342735968507,Gesamtwirtschaft
CA,LStK,2022,Kanada,124.020799988666,Gesamtwirtschaft
CA,LStK,2023,Kanada,122.446563820882,Gesamtwirtschaft
CY,BEG,1995,Zypern,56.0787180144809,Gesamtwirtschaft
CY,BEG,1996,Zypern,58.6751848619307,Gesamtwirtschaft
CY,BEG,1997,Zypern,62.9079930234853,Gesamtwirtschaft
CY,BEG,1998,Zypern,65.0487064411605,Gesamtwirtschaft
CY,BEG,1999,Zypern,68.0457196042174,Gesamtwirtschaft
CY,BEG,2000,Zypern,72.7577392321992,Gesamtwirtschaft
CY,BEG,2001,Zypern,75.2232076634185,Gesamtwirtschaft
CY,BEG,2002,Zypern,78.9318898804061,Gesamtwirtschaft
CY,BEG,2003,Zypern,83.8749658182223,Gesamtwirtschaft
CY,BEG,2004,Zypern,86.0107821134807,Gesamtwirtschaft
CY,BEG,2005,Zypern,92.5173109316381,Gesamtwirtschaft
CY,BEG,2006,Zypern,96.6117283713293,Gesamtwirtschaft
CY,BEG,2007,Zypern,97.2649123967421,Gesamtwirtschaft
CY,BEG,2008,Zypern,99.9634258984234,Gesamtwirtschaft
CY,BEG,2009,Zypern,105.517486179776,Gesamtwirtschaft
CY,BEG,2010,Zypern,106.726873515098,Gesamtwirtschaft
CY,BEG,2011,Zypern,109.143777404194,Gesamtwirtschaft
CY,BEG,2012,Zypern,111.025957479306,Gesamtwirtschaft
CY,BEG,2013,Zypern,105.160419456271,Gesamtwirtschaft
CY,BEG,2014,Zypern,101.349059621155,Gesamtwirtschaft
CY,BEG,2015,Zypern,100,Gesamtwirtschaft
CY,BEG,2016,Zypern,99.0820601648151,Gesamtwirtschaft
CY,BEG,2017,Zypern,100.613671663226,Gesamtwirtschaft
CY,BEG,2018,Zypern,102.076099403366,Gesamtwirtschaft
CY,BEG,2019,Zypern,106.604266305895,Gesamtwirtschaft
CY,BEG,2020,Zypern,106.115298614523,Gesamtwirtschaft
CY,BEG,2021,Zypern,110.727262778804,Gesamtwirtschaft
CY,BEG,2022,Zypern,111.896597014065,Gesamtwirtschaft
CY,BEG,2023,Zypern,118.211897528987,Gesamtwirtschaft
CY,BEG,2024,Zypern,122.822161532618,Gesamtwirtschaft
CY,BEG,2025,Zypern,124.664493955607,Gesamtwirtschaft
CY,LStK,1995,Zypern,70.6956516025356,Gesamtwirtschaft
CY,LStK,1996,Zypern,73.4448590196115,Gesamtwirtschaft
CY,LStK,1997,Zypern,77.1860641713041,Gesamtwirtschaft
CY,LStK,1998,Zypern,76.3949813393324,Gesamtwirtschaft
